"clk_name","clk_id","hemisphere"

AstC immunoreactivity was previously localized to DN1p, DN3, and LPN    Diaz et al., 2019 (immuno); Reinhard et al., 2023 (immuno)

AstC is additionally expressed in DN2, which were labeled using an antibody against the clock protein Vrille (VRI).

Proctolin is a new clock-related neuropeptide which is expressed in one DN1p (open arrowhead) and two DN2 (filled arrowheads). 
 
Which 2 are 5th?


"s-CPDN3C","720575940615722438","left"
"s-CPDN3C","720575940630093100","left"
"s-CPDN3C","720575940604383008","left"
"s-CPDN3C","720575940633253602","left"
"s-CPDN3C","720575940625956371","left"
"s-CPDN3C","720575940612776879","right"
"s-CPDN3C","720575940610991513","right"
"s-CPDN3C","720575940621186565","right"
"s-CPDN3C","720575940630541783","right"
"s-CPDN3C","720575940622852359","right"
"s-CPDN3C","720575940626023940","right"
"s-CPDN3C","720575940617643092","right"
"s-CPDN3C","720575940634904677","right"
"s-CPDN3C","720575940622700531","right"
"s-CPDN3C","720575940627514267","right"
"s-CPDN3C","720575940623035742","right"
"s-CPDN3C","720575940623224504","right"
"s-CPDN3C","720575940627299940","right"
"s-CPDN3C","720575940634358879","right"
"s-CPDN3C","720575940624010829","right"
"s-CPDN3C","720575940628816384","right"

"s-CPDN3D","720575940627186435","left"
"s-CPDN3D","720575940630586642","left"
"s-CPDN3D","720575940614365923","left"
"s-CPDN3D","720575940620142203","left"
"s-CPDN3D","720575940630426967","left"
"s-CPDN3D","720575940626580528","left"
"s-CPDN3D","720575940620070558","left"
"s-CPDN3D","720575940606861442","left"
"s-CPDN3D","720575940634818399","left"
"s-CPDN3D","720575940631372764","left"
"s-CPDN3D","720575940630152076","left"
"s-CPDN3D","720575940621845530","left"
"s-CPDN3D","720575940629470736","left"
"s-CPDN3D","720575940632512015","left"
"s-CPDN3D","720575940619212453","left"
"s-CPDN3D","720575940639791067","left"
"s-CPDN3D","720575940626953475","left"
"s-CPDN3D","720575940613873361","left"
"s-CPDN3D","720575940605960626","right"
"s-CPDN3D","720575940614519157","right"
"s-CPDN3D","720575940609261892","right"
"s-CPDN3D","720575940618378708","right"
"s-CPDN3D","720575940624375113","right"
"s-CPDN3D","720575940633954808","right"
"s-CPDN3D","720575940626644486","right"
"s-CPDN3D","720575940636193647","right"
"s-CPDN3D","720575940607416587","right"
"s-CPDN3D","720575940632575388","right"
"s-CPDN3D","720575940616909083","right"
"s-CPDN3D","720575940618853547","right"
"s-CPDN3D","720575940630116601","right"
"s-CPDN3D","720575940630560761","right"
"s-CPDN3D","720575940646209156","right"
"s-CPDN3D","720575940627042130","right"
"s-CPDN3D","720575940604488672","right"
"s-CPDN3D","720575940625749842","right"
"s-CPDN3D","720575940627171154","right"

"s-CPDN3E","720575940638758744","left"
"s-CPDN3E","720575940613223830","left"
"s-CPDN3E","720575940613555618","left"
"s-CPDN3E","720575940614444338","left"
"s-CPDN3E","720575940617722944","left"
"s-CPDN3E","720575940620024149","left"
"s-CPDN3E","720575940622821731","left"
"s-CPDN3E","720575940628137987","left"
"s-CPDN3E","720575940628911946","left"
"s-CPDN3E","720575940630562297","left"
"s-CPDN3E","720575940631118095","left"
"s-CPDN3E","720575940638973091","left"
"s-CPDN3E","720575940610400409","right"
"s-CPDN3E","720575940610043346","right"
"s-CPDN3E","720575940616075147","right"
"s-CPDN3E","720575940619354673","right"
"s-CPDN3E","720575940620205172","right"
"s-CPDN3E","720575940621542141","right"
"s-CPDN3E","720575940625852676","right"
"s-CPDN3E","720575940625853188","right"
"s-CPDN3E","720575940626529944","right"
"s-CPDN3E","720575940629163772","right"
"s-CPDN3E","720575940632179620","right"
"s-CPDN3E","720575940642372512","right"
"s-CPDN3E","720575940623055433","right"
