species,region,cell_type,hemilineage,known_nt,known_nt_source,known_nt_evidence,known_nt_confidence
adult_drosophila_melanogaster,midbrain,CB3383,ALlv1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,CB3447,ALv1,gaba,Liang et al. 2013,immuno,5
adult_drosophila_melanogaster,midbrain,CB3457,ALv1,gaba,Liang et al. 2013,immuno,5
adult_drosophila_melanogaster,midbrain,CB3491,WEDa1,gaba,"Ito et al., 2014",immuno,5
adult_drosophila_melanogaster,midbrain,CB3552,WEDa1,gaba,"Ito et al., 2014",immuno,5
adult_drosophila_melanogaster,midbrain,CB3597,ALv1,gaba,Liang et al. 2013,immuno,5
adult_drosophila_melanogaster,midbrain,CB3623,ALlv1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,CB3780,LHl2_dorsal,acetylcholine,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,CL114,ALv1,gaba,ASB,educated guess,0
adult_drosophila_melanogaster,midbrain,CL114,ALv1,gaba,"Ito et al., 2014",immuno,5
adult_drosophila_melanogaster,midbrain,CL116,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,CL118,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,CL120a,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,CL120b,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,"CL121,CL122",PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,CSD,putative_primary,serotonin,"Dacks et al., 2006",immuno,5
adult_drosophila_melanogaster,optic_lobes,CT1,NA,gaba,"Takemura et al., 2017",immuno,5
adult_drosophila_melanogaster,midbrain,DA1_lPN,ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DA1_vPN,ALv1,gaba,"Liang et al., 2013","immuno, MARCM",5
adult_drosophila_melanogaster,midbrain,DA2_lPN,ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DA3_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DA4l_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DA4m_adPN,ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DC1_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DC2_adPN,ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DC3_adPN,ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DC4_adPN,ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DC4_vPN,ALv1,gaba,"Liang et al., 2013","immuno, MARCM",5
adult_drosophila_melanogaster,midbrain,DCH,putative_primary,gaba,Wei et al. 2019,intersection,4
adult_drosophila_melanogaster,midbrain,DL1_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DL2d_adPN,ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DL2d_vPN,ALv1,gaba,"Liang et al., 2013","immuno, MARCM",5
adult_drosophila_melanogaster,midbrain,DL2v_adPN,ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DL3_lPN,ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DL4_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DL5_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DM1_lPN,ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DM2_lPN,ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DM3_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DM4_adPN,ALad1__prim,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DM4_vPN,ALv1,gaba,"Liang et al., 2013","immuno, MARCM",5
adult_drosophila_melanogaster,midbrain,DM5_lPN,ALl1_ventral,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DM6_adPN,ALad1,acetylcholine,"Tanaka et al., 2012","immuno, tract based",3
adult_drosophila_melanogaster,midbrain,DN1a,putative_primary,glutamate,"Reinhard et al., 2023",scRNA-seq,3
adult_drosophila_melanogaster,midbrain,DN1pA,putative_primary,glutamate,Guo et al. 2016,immuno,5
adult_drosophila_melanogaster,midbrain,DN1pB,putative_primary,glutamate,Guo et al. 2016,immuno,5
adult_drosophila_melanogaster,midbrain,DNa01,WEDd1,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNa02,WEDd1,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNa04,WEDd1,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNa08,WEDd1,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNa10,WEDd1,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNb01,putative_primary,glutamate,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNb02,putative_primary,glutamate,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNb04,putative_primary,glutamate,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNb05,putative_primary,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNb09,putative_primary,glutamate,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNd02,putative_primary,"glutamate, tyramine","Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNd03,putative_primary,glutamate,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg02_a,LB12,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg02_b,LB12,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg02_c,LB12,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg02_d,LB12,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg02_e,LB12,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg02_f,LB12,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg02_g,LB12,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg09,LB7,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg13,MX12__prim,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg14,putative_primary,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg27,putative_primary,"acetylcholine, glutamate","Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg28,putative_primary,serotonin,Alekseyenko et al. 2010,immuno,5
adult_drosophila_melanogaster,midbrain,DNg29,MX7__prim,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg29,MX7__prim,acetylcholine,"Cheong et al., 2023 )",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg32,MX3,octopamine,Certel et al. 2010,MCFO,1
adult_drosophila_melanogaster,midbrain,DNg34,putative_primary,"glutamate, octopamine",Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg37,putative_primary,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNg40,MX3,"acetylcholine, glutamate","Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp02,SMPpv2_ventral,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp03,putative_primary,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp04,SMPpv2_ventral,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp05,putative_primary,acetylcholine,Cheong et al. 2023 ),EASI-FISH,4
adult_drosophila_melanogaster,midbrain,DNp06,SMPpv2_ventral,acetylcholine,"Cheong et al., 2023",EASI-FISH,4
