cell_type,known_nt,known_nt_source,known_nt_confidence,species,region,hemilineage
A06l_a1l (Saaghi-1),gaba,"Zarin, Mark et al. 2019, Mark et al. 2019, Fushiki et al. 2016, Heckscher et al. 2015",4,larval_drosophila_melanogaster,cns,unpublished
A06l_a1r (Saaghi-1),gaba,"Zarin, Mark et al. 2019, Fushiki et al. 2016, Heckscher et al. 2015",4,larval_drosophila_melanogaster,cns,unpublished
A06m_a1l,gaba,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A06x1_a1l,gaba,"Zarin, Mark et al. 2019, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A06x1_a1r,gaba,"Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A08e1_a1l ,acetylcholine,"Zarin, Mark et al. 2019, Mark et al. 2019, Heckscher et al. 2015",4,larval_drosophila_melanogaster,cns,unpublished
A08e1_a1r,acetylcholine,"Zarin, Mark et al. 2019, Heckscher et al. 2015",4,larval_drosophila_melanogaster,cns,unpublished
A08e1_a2l,acetylcholine,Heckscher et al. 2015,4,larval_drosophila_melanogaster,cns,unpublished
A08e1_a2r,acetylcholine,Heckscher et al. 2015,4,larval_drosophila_melanogaster,cns,unpublished
A09a a1l Basin-2,acetylcholine,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016, Gerhard et al. 2017, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A09a a1r Basin-2,acetylcholine,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016, Gerhard et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
A09a_a4l Basin-2,acetylcholine,"Ohyama, Schneider-Mizell et al. 2015, Burgos et al 2018",2,larval_drosophila_melanogaster,cns,unpublished
A09a_a4r Basin-2,acetylcholine,"Ohyama, Schneider-Mizell et al. 2015, Burgos et al 2018",2,larval_drosophila_melanogaster,cns,unpublished
A09b a1l Basin-1,acetylcholine,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016, Gerhard et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
A09b a1r Basin-1,acetylcholine,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016, Gerhard et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
A09c a1l Basin-4,acetylcholine,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016, Gerhard et al. 2017, Burgos et al 2018",2,larval_drosophila_melanogaster,cns,unpublished
A09c a1r Basin-4,acetylcholine,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016, Gerhard et al. 2017, Burgos et al 2018",2,larval_drosophila_melanogaster,cns,unpublished
A09c_a4l Basin-4,acetylcholine,"Ohyama, Schneider-Mizell et al. 2015, Burgos et al 2018",2,larval_drosophila_melanogaster,cns,unpublished
A09g a1r Basin-3,acetylcholine,"Barnes et al. 2022, Valdes-Aleman et al. 2021, Ohyama, Schneider-Mizell et al. 2015, Jovanic, Schneider-Mizell et al. 2016, Burgos et al 2018",2,larval_drosophila_melanogaster,cns,unpublished
A09l_a1l (Down-and-back-1),acetylcholine,"Zarin, Mark et al. 2019, Gerhard et al. 2017, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A09l_a1r (Down-and-back-1),acetylcholine,"Zarin, Mark et al. 2019, Gerhard et al. 2017, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A09l_a2l Down-and-back-1,acetylcholine,"Gerhard et al. 2017, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A09l_a2r Down-and-back-1	,acetylcholine,"Gerhard et al. 2017, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A09l_a3l Down-and-back-1,acetylcholine,Burgos et al 2018,4,larval_drosophila_melanogaster,cns,unpublished
A09l_a3r Down-and-back-1,acetylcholine,Burgos et al 2018,4,larval_drosophila_melanogaster,cns,unpublished
A09l_a4l Down-and-back-1,acetylcholine,Burgos et al 2018,4,larval_drosophila_melanogaster,cns,unpublished
A09l_a4r Down-and-back-1,acetylcholine,Burgos et al 2018,4,larval_drosophila_melanogaster,cns,unpublished
A09l_a5l_ Down-and-back-1,acetylcholine,Burgos et al 2018,4,larval_drosophila_melanogaster,cns,unpublished
A09l_a5r Down-and-back-1,acetylcholine,Burgos et al 2018,4,larval_drosophila_melanogaster,cns,unpublished
A09l_t3l Down-and-back-1,acetylcholine,"Gerhard et al. 2017, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A09l_t3r Down-and-back-1,acetylcholine,"Gerhard et al. 2017, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A14a_a1l,gaba,"Zarin, Mark et al. 2019, Zwart et al. 2016, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A14a_a1r,gaba,"Zwart et al. 2016, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A18a_a1l ,acetylcholine,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A18a_a1r ,acetylcholine,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A18b3_a1l,acetylcholine,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A18b3_a1r,acetylcholine,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A18b3_a2l,acetylcholine,Fushiki et al. 2016,4,larval_drosophila_melanogaster,cns,unpublished
A18b3_a2r,acetylcholine,Fushiki et al. 2016,4,larval_drosophila_melanogaster,cns,unpublished
A18b_a1l,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A18b_a1r,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A18b_a2l,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A18b_a2r,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A18j_a1l,acetylcholine,"Zwart et al. 2016, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A18j_a1r,acetylcholine,"Zarin, Mark et al. 2019, Zwart et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A19b a1l,gaba,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A19c_a1l,gaba,"Ohyama, Schneider-Mizell et al. 2015",2,larval_drosophila_melanogaster,cns,unpublished
A19c_a1r,gaba,"Ohyama, Schneider-Mizell et al. 2015",2,larval_drosophila_melanogaster,cns,unpublished
A19l_a1l,gaba,"Zwart et al. 2016, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A19l_a1r,gaba,"Zwart et al. 2016, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A19x a1l,gaba,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A23a_a1l,gaba,"Zwart et al. 2016, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A23a_a1r,gaba,"Zwart et al. 2016, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A26f_a1l,gaba,"Zarin, Mark et al. 2019, Zwart et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A26f_a1r,gaba,"Zarin, Mark et al. 2019, Zwart et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A26f_a2l,gaba,Schlegel et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A26f_a2r,gaba,Schlegel et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A26f_a3l,gaba,Schlegel et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A26f_a3r,gaba,Schlegel et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A26f_a4r,gaba,Schlegel et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A27h?_t3l,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",2,larval_drosophila_melanogaster,cns,unpublished
A27h_a1l,acetylcholine,"Zarin, Mark et al. 2019, Carreira-Rosario, Arzan Zarin, Clark et al. 2018, Fushiki et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A27h_a1r,acetylcholine,"Zarin, Mark et al. 2019, Fushiki et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A27h_a2l,acetylcholine,Fushiki et al. 2016,4,larval_drosophila_melanogaster,cns,unpublished
A27h_a2r,acetylcholine,Fushiki et al. 2016,4,larval_drosophila_melanogaster,cns,unpublished
A27h_a4l,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27h_a5r,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27h_a6l,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27h_a6r,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27h_a7l,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27h_a7r,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27j2_a1l_GABA,gaba,Fushiki et al. 2016,4,larval_drosophila_melanogaster,cns,unpublished
A27j2_a1r_GABA,gaba,Fushiki et al. 2016,4,larval_drosophila_melanogaster,cns,unpublished
A27j_a1l,gaba,"Burgos et al 2018, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A27j_a1r,gaba,"Zarin, Mark et al. 2019, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27k_a1l,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018, Fushiki et al. 2016, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27k_a1r,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018, Fushiki et al. 2016, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27k_a2l,acetylcholine,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018, Zwart et al. 2016, Zarin, Mark et al. 2019, Fushiki et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A27k_a2r,acetylcholine,"Zwart et al. 2016, Carreira-Rosario, Arzan Zarin, Clark et al. 2018, Zarin, Mark et al. 2019, Fushiki et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A27l_a1l,gaba,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A27l_a1r,gaba,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A27l_a2l,gaba,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27l_a2r,gaba,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27l_a3l,gaba,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A27l_a3r,gaba,"Carreira-Rosario, Arzan Zarin, Clark et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
A31b_a1l ,gaba,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A31b_a1r ,gaba,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A31d_a1l,gaba,"Zarin, Mark et al. 2019, Fushiki et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A31d_a1r,gaba,"Zarin, Mark et al. 2019, Fushiki et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A31f_a1l?,gaba,Fushiki et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A31f_a1r?,gaba,Fushiki et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A31k_a1l,gaba,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A31k_a1r,gaba,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-01,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-02,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-03,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-04,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-05,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-06,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-07,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-08,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-09,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-10,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-11,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-12,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-13,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-14,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-ACa-15,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-16,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-17,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-18,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-19,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-20,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-21,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-22,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-23,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-24,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-25,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-26,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-27,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-28,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-29,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-30,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-31,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-32,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-33,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-34,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-35,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-36,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-37,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-38,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-39,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B1-AVa-40,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-01,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-02,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-03,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-04,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-05,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-06,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-07,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-08,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-09,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-10,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-11,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-12,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-13,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-14,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-15,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-16,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-17,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-18,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-19,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-20,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-21,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-22,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-ACp-23,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-AVa-24 (PPS mechano),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-AVa-25 (PPS mechano),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020, Schlegel et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-AVp-01,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-AVp-02,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-AVp-03,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-VM-04,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-VM-05,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-VM-06,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-VM-07,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B2-VM-08,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-ACal-01 (temp sensing left neuron alone),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
AN-L-Sens-B3-ACal-02 (temp sensing left neuron together 2),acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Hueckesfeld et al. 2020",2,larval_drosophila_melanogaster,cns,unpublished
