cell_type,known_nt,known_nt_source,known_nt_confidence,species,region,hemilineage
42a ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
42a ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
42a PN left,acetylcholine,"Eschbach, Fushiki et al. 2020b, Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
42a PN right,acetylcholine,"Eschbach, Fushiki et al. 2020b, Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
42b ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
42b ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
42b PN left,acetylcholine,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
42b PN right,acetylcholine,"Eschbach, Fushiki et al. 2020b, Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
45a ORN left,acetylcholine,"Barnes et al. 2022, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
45a ORN right,acetylcholine,"Barnes et al. 2022, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
45a PN left,acetylcholine,"Barnes et al. 2022, Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
45a PN right,acetylcholine,"Barnes et al. 2022, Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
45b ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
45b ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
45b PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
45b PN right,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
47a & 33b ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
47a & 33b ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
47a & 33b PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
47a & 33b PN right,acetylcholine,"Winding, Pedigo et al. 2023, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017, Miroschnikow et al. 2018",4,larval_drosophila_melanogaster,cns,unpublished
49a ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
49a ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
49a PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
49a PN right,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
59a ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
59a ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
59a PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
59a PN right,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
5thLN;left,acetylcholine,"Winding, Pedigo et al. 2023, Larderet, Fritsch et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
5thLN;right,acetylcholine,"Winding, Pedigo et al. 2023, Larderet, Fritsch et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
63a ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
63a ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
63a PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
63a PN right,acetylcholine,"Miroschnikow et al. 2018, Winding, Pedigo et al. 2023, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
67b ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
67b ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
67b PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
67b PN right,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
74a ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
74a ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
74a PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
74a PN right,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
82a ORN left,acetylcholine,"Barnes et al. 2022, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
82a ORN right,acetylcholine,"Barnes et al. 2022, Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
82a PN left,acetylcholine,"Barnes et al. 2022, Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
82a PN right,acetylcholine,"Barnes et al. 2022, Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
83a ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
83a ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
83a PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
83a PN right,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
85c ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
85c ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
85c PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
85c PN right,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
94a & 94b ORN left,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
94a & 94b ORN right,acetylcholine,"Winding, Pedigo et al. 2023, Hueckesfeld et al. 2020, Berck, Khandelwal et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
94a & 94b PN left,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
94a & 94b PN right,acetylcholine,"Winding, Pedigo et al. 2023, Miroschnikow et al. 2018, Berck, Khandelwal et al. 2016, Eichler, Li, Litwin-Kumar et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
A01c1_a1l,acetylcholine,"Zwart et al. 2016, Zarin, Mark et al. 2019, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A01c1_a1r,acetylcholine,"Zwart et al. 2016, Zarin, Mark et al. 2019, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A01d3_a1l,acetylcholine,"Zarin, Mark et al. 2019, Mark et al. 2019, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A01d3_a1r,acetylcholine,"Zarin, Mark et al. 2019, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A01d3_t3l (T01d3),acetylcholine,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A01d3_t3r (T01d3),acetylcholine,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A01x3_a1l,acetylcholine,"Zarin, Mark et al. 2019, Mark et al. 2019, Fushiki et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A01x3_a1r,acetylcholine,"Zarin, Mark et al. 2019, Fushiki et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A02a- looper-1_a1l,glutamate,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A02b_a1l ,glutamate,"Zarin, Mark et al. 2019, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A02b_a1r ,glutamate,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A02c?_a1l ,glutamate,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A02d_a1l ,glutamate,"Mark et al. 2019, Fushiki et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A02d_a1r,glutamate,Fushiki et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A02e_a1l,glutamate,"Zarin, Mark et al. 2019, Mark et al. 2019, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A02e_a1r,glutamate,"Zarin, Mark et al. 2019, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A02f_a1l ,glutamate,"Zwart et al. 2016, Zarin, Mark et al. 2019, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A02f_a1r,glutamate,"Zarin, Mark et al. 2019, Zwart et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A02g_a1l,glutamate,"Zarin, Mark et al. 2019, Mark et al. 2019, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A02g_a1r,glutamate,"Burgos et al 2018, Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A02h_a1l,glutamate,"Zarin, Mark et al. 2019, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A02h_a1r,glutamate,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A02i_a1l,glutamate,"Zarin, Mark et al. 2019, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A02i_a1r,glutamate,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A02j Looper-10_a4l,glutamate,Fushiki et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A02j Looper-10_a4r,glutamate,Fushiki et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A02j_a1l,glutamate,Mark et al. 2019,4,larval_drosophila_melanogaster,cns,unpublished
A02j_a3l,glutamate,"Zarin, Mark et al. 2019, Fushiki et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A02j_a3r,glutamate,"Zarin, Mark et al. 2019, Fushiki et al. 2016",4,larval_drosophila_melanogaster,cns,unpublished
A02k Pseudolooper-1_a1l ,glutamate,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A02m_a1l Pseudolooper-3,glutamate,"Zarin, Mark et al. 2019, Mark et al. 2019, Ohyama, Schneider-Mizell et al. 2015, Gerhard et al. 2017",2,larval_drosophila_melanogaster,cns,unpublished
A02m_a1r Pseudolooper-3,glutamate,"Zarin, Mark et al. 2019, Ohyama, Schneider-Mizell et al. 2015, Gerhard et al. 2017",2,larval_drosophila_melanogaster,cns,unpublished
A02n_a1l Pseudolooper-4,glutamate,"Zarin, Mark et al. 2019, Mark et al. 2019, Ohyama, Schneider-Mizell et al. 2015, Gerhard et al. 2017",2,larval_drosophila_melanogaster,cns,unpublished
A02n_a1r Pseudolooper-4,glutamate,"Zarin, Mark et al. 2019, Ohyama, Schneider-Mizell et al. 2015, Gerhard et al. 2017",2,larval_drosophila_melanogaster,cns,unpublished
A03 (upstream of A08m)_a1l,acetylcholine,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A03 12946255,acetylcholine,Fushiki et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A03 ipsilateral local_a1l,acetylcholine,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A03EGB_a2l (EGHBAL),acetylcholine,"Zarin, Mark et al. 2019, Mark et al. 2019, Fushiki et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A03EGB_a2r (EGHBAL),acetylcholine,"Zarin, Mark et al. 2019, Fushiki et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A03_preA08m_a1l,acetylcholine,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A03a1_a1l (pre dMNs) ,acetylcholine,"Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A03a1_a1r (pre dMNs) ,acetylcholine,"Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A03a3_a1l (pre dMNs) ,acetylcholine,"Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A03a3_a1r (pre dMNs),acetylcholine,"Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A03a3_t3l (was T03a1),acetylcholine,"Zarin, Mark et al. 2019, Zwart et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A03a3_t3r (was T03a1),acetylcholine,"Zwart et al. 2016, Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A03a4_a1l,acetylcholine,"Zwart et al. 2016, Zarin, Mark et al. 2019, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A03a4_a1r,acetylcholine,"Zwart et al. 2016, Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A03a4_a2l,acetylcholine,Fushiki et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A03a4_a2r,acetylcholine,Fushiki et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A03a5_a1l,acetylcholine,"Zarin, Mark et al. 2019, Takagi et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
A03a5_a1r,acetylcholine,"Zarin, Mark et al. 2019, Takagi et al. 2017",4,larval_drosophila_melanogaster,cns,unpublished
A03a5_a2l,acetylcholine,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A03a6_a1l ,acetylcholine,"Zarin, Mark et al. 2019, Fushiki et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A03a6_a1r,acetylcholine,"Zarin, Mark et al. 2019, Fushiki et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A03ax_a1l,acetylcholine,Fushiki et al. 2016,2,larval_drosophila_melanogaster,cns,unpublished
A03d?_a2l,acetylcholine,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A03g2_t3r (T03g2),acetylcholine,"Zarin, Mark et al. 2019, Fushiki et al. 2016",2,larval_drosophila_melanogaster,cns,unpublished
A03g_a1l,acetylcholine,"Zwart et al. 2016, Zarin, Mark et al. 2019, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A03g_a1r,acetylcholine,"Zarin, Mark et al. 2019, Zwart et al. 2016, Burgos et al 2018",4,larval_drosophila_melanogaster,cns,unpublished
A03g_t3r (T03g),acetylcholine,Fushiki et al. 2016,4,larval_drosophila_melanogaster,cns,unpublished
A03o1_a1l,acetylcholine,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A03o_a1l,acetylcholine,"Zarin, Mark et al. 2019, Mark et al. 2019, Ohyama, Schneider-Mizell et al. 2015",2,larval_drosophila_melanogaster,cns,unpublished
A03o_a1r,acetylcholine,"Zarin, Mark et al. 2019, Ohyama, Schneider-Mizell et al. 2015",2,larval_drosophila_melanogaster,cns,unpublished
A03t_a1l,acetylcholine,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A03xKT_a1l ,acetylcholine,"Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A03xKT_a1r,acetylcholine,"Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A03xxx Ipsilateral mixed LN_a1l ,acetylcholine,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A03xyz_a2l,acetylcholine,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A06 (pre B5 01)_a1l,gaba,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A06a_a1l,gaba,"Zarin, Mark et al. 2019, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A06a_a1r,gaba,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A06bx_a1l,gaba,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A06c_a1l,gaba,"Zarin, Mark et al. 2019, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A06c_a1r,gaba,"Zarin, Mark et al. 2019",4,larval_drosophila_melanogaster,cns,unpublished
A06e_a1l (Saaghi-3),gaba,"Mark et al. 2019, Heckscher et al. 2015",2,larval_drosophila_melanogaster,cns,unpublished
A06e_a1r (Saaghi-3),gaba,Heckscher et al. 2015,2,larval_drosophila_melanogaster,cns,unpublished
A06e_t3r (Saaghi-3),gaba,"Zarin, Mark et al. 2019, Heckscher et al. 2015",2,larval_drosophila_melanogaster,cns,unpublished
A06f_a1l (Saaghi-2),gaba,"Zarin, Mark et al. 2019, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A06f_a1r (Saaghi-2),gaba,"Zarin, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
A06g2_a1l (Saaghi-5),gaba,Mark et al. 2019,2,larval_drosophila_melanogaster,cns,unpublished
A06k_a1l,gaba,"Winding, Pedigo et al. 2023, Mark et al. 2019",2,larval_drosophila_melanogaster,cns,unpublished
