cell_type,hemibrain_type,morphology_group,hemilineage,region,in_fafb,in_hemibrain,in_banc,in_l1
AN_FLA_GNG_2,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_76,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_SAD_27,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_SMP_1,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_VES_GNG_6,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_multi_107,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_multi_128,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_multi_23,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN00A027,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A033,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A017,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A024,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A009,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A043,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A040,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A044,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A047,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A057,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A056,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A064,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A010,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A019,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A012,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A049,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A025,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A030,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
AN00A002,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN00A062,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A051,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A002,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A011,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A020,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A018,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A026,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A021,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A022,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A050,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A055,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A052,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A036,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A029,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A034,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A023,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
AN00A009,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN00A045,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A054,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A041,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A014,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A066,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A068,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A031,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A067,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A053,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A001,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A013,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A003,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A007,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A004,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A028,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A063,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A060,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A065,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A061,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A016,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A058,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A048,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A032,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A059,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
vPR9,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A039,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A005,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A035,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A038,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A046,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
AN00A006,NA,NA,00A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN00A071,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A069,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A070,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A008,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A042,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
IN00A037,NA,NA,00A,vnc,TRUE,FALSE,TRUE,FALSE
EN00B009,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B027,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B026,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B007,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B015,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B023,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B025,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B001,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B003,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B004,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B013,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B016,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B010,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B012,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B014,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B019,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B018,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B020,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B021,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B017,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EA00B006,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B011,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EA00B022,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B002,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B008,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
mesVUM-MJ,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
EN00B024,NA,NA,00B,vnc,TRUE,FALSE,TRUE,FALSE
AN_3_None,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_AVLP_26,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_113,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_18,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_48,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_SLP_LH_1,hb422328492,NA,01A,neck_connective,TRUE,TRUE,TRUE,FALSE
IN01A036,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A039,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A032,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A015,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A074,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A085,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A077,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A043,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A051,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A045,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A065,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A048,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A034,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A063,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A044,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A061,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A059,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
AN01A086,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01A012,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A067,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A076,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A073,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A054,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A056,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A083,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A016,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A042,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A025,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A038,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A037,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A035,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A023,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A068,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A080,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A082,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A066,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A057,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A071,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A079,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A022,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A041,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
AN01A033,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01A040,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A069,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A075,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A028,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A013,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A027,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A050,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A062,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A030,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A053,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A084,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A011,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A026,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A064,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
AN01A014,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN01A001,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN01A006,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01A070,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A002,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A058,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A005,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A010,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A088,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A024,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A009,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A007,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A087,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A081,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A078,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A047,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A052,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A072,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
AN01A055,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01A060,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A008,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
AN01A021,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01A031,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A020,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A004,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A046,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A001,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
AN01A049,NA,NA,01A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01A029,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A018,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A003,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A019,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
IN01A017,NA,NA,01A,vnc,TRUE,FALSE,TRUE,FALSE
AN_AVLP_GNG_2,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_162,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_23,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_26,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_47,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_5,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_73,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_75,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_SAD_33,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_VES_4,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_VES_7,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_multi_123,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
SA_VTV_2,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01B025,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B023,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B042,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B027,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B060,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B016,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B012,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B013,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B022,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B003,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B030,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B039,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B050,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B026,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B068,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B034,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B061,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B052,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B036,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B017,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B065,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B078,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B058,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B100,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B084,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B080,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B081,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B059,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B077,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B094,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B101,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B010,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B040,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B033,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B062,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B006,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B031,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B038,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B019,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B008,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B021,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B047,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B056,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B064,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B041,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B070,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B073,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B069,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B045,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B091,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B063,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B020,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B066,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B051,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B044,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B086,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B099,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B067,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B015,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B053,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B037,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B046,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B054,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B032,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B048,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B055,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B092,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B043,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B074,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B083,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B024,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B072,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B079,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B029,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B071,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B075,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B049,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B007,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B057,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B089,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B082,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B087,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B095,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B096,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B102,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B085,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B097,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B093,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B090,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B098,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B002,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B035,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
AN01B004,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN01B011,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN01B002,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01B014,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
AN01B018,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
AN01B014,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01B001,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
IN01B028,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
AN01B005,NA,NA,01B,neck_connective,TRUE,FALSE,TRUE,FALSE
IN01B088,NA,NA,01B,vnc,TRUE,FALSE,TRUE,FALSE
AN_4_None,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_56,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_82,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_IPS_12,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_GNG_IPS_8,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_IPS_GNG_2,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_multi_12,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
AN_multi_8,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN02A044,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A059,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A054,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A030,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A064,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A066,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A058,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A012,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A011,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
AN02A022,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN02A015,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A003,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A056,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
AN02A009,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN02A036,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A020,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A029,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
AN02A017,NA,NA,02A,neck_connective,TRUE,FALSE,TRUE,FALSE
IN02A032,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A045,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A047,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A049,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A040,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A035,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
IN02A042,NA,NA,02A,vnc,TRUE,FALSE,TRUE,FALSE
